loja,classificacao_nps,sentimento_modelo,categoria_modelo,comentario,confianca_sentimento,confianca_categoria
L5236-JACAREI VILLA BRANCA,neutro,positivo,Atendimento / Loja física,"Nada a melhorar, por hora. Basta continuar com o bom atendimento, organização,  e limpeza. Ahhh e não menos importante. SEMPRE MANTER OS BONS PREÇOS.
Parabéns aos colaboradores da loja Villa Branca em Jacarei S/P. Executam um ótimo trabalho.",0.9999,0.5014
L5235-LOUVEIRA,neutro,positivo,Outros / Genéricos,"Pra mim está perfeito ,atendimento maravilhoso ! Parabens",0.9998,0.7141
L5086-PORTAL DO MORUMBI (1352),neutro,positivo,Atendimento / Loja física,A atendente Marina é muito atenciosa,0.9998,0.7283
L5239-CACAPAVA,neutro,positivo,Outros / Genéricos,Pra mim está ótimo sempre sou muito bem atendido,0.9994,0.7807
L5021-VILA SAUDE (0782),neutro,positivo,Outros / Genéricos,Na minha opinião  está  tudo perfeito!,0.9991,0.8835
L5120-ITU,neutro,positivo,Outros / Genéricos,Está ótimo assim,0.999,0.9095
L5204-ITAQUA,neutro,positivo,Atendimento / Loja física,"Fui muito bem atendida pelas funcionárias Vanuzia e Elisama. As duas foram educadas e atenciosas comigo. 
Agradeço e parabenizo o atendimento das duas, pois faz a diferença quando o cliente é bem atendido.
Grata
Adriana",0.9987,0.6889
L5150-ARARAQUARA,detrator,positivo,Outros / Genéricos,Tudo Maravilhoso  vocês  estão  de Parabéns,0.9983,0.4975
L5198-VILA RESENDE,neutro,positivo,Outros / Genéricos,"Está ótimo, continuem assim...",0.9982,0.9399
L5114-106 ASA SUL,neutro,positivo,Outros / Genéricos,"Algumas coisas tem um precinho meio salgado, mas no geral eu amei a experiência!",0.9979,0.2999
L5106-GUILHERMINA (1516),neutro,positivo,Outros / Genéricos,Está tudo ótimo ???? ???? ????,0.9978,0.8696
L5268-TIBURCIO,neutro,positivo,Outros / Genéricos,Está tudo ótimo,0.9978,0.8696
L5037-VILA ROMANA (0880),neutro,positivo,Outros / Genéricos,Bem atendido pela Kariny,0.9977,0.3479
L5130-TUPI,detrator,positivo,Outros / Genéricos,Nao precisa melhorar esta tudo otimo,0.9974,0.9192
L5161-ITANHAEM,neutro,positivo,Outros / Genéricos,Tudo perfeito,0.997,0.7838
L5175-PARQUE SAO LUCAS,detrator,positivo,Outros / Genéricos,TUDO PERFEITO,0.997,0.7838
L5251-JANGADEIROS,neutro,positivo,Outros / Genéricos,tudo perfeito,0.997,0.7838
L5118-ARACATUBA,detrator,positivo,Outros / Genéricos,Para mim tá tudo OK não tem que melhorar nada muito bom muita limpeza maravilhoso,0.9967,0.8896
L5107-MANDAQUI (1521),detrator,positivo,Outros / Genéricos,Continuando como está.,0.9967,0.8959
L5173-PERUIBE,neutro,positivo,Outros / Genéricos,Tá tudo maravilhoso,0.9965,0.7761
L5181-RIBEIRAO PIRES,neutro,positivo,Outros / Genéricos,Tá tudo maravilhoso,0.9965,0.7761
L5101-CIDADE SAO FRANCISCO (1432),neutro,positivo,Outros / Genéricos,Para mim está ótimo  ?,0.9958,0.902
L5143-AQUARIUS,detrator,positivo,Outros / Genéricos,Para mim está ótimo,0.9958,0.902
L5064-CHACARA INGLESA (1312),detrator,positivo,Outros / Genéricos,"Pra mim, está ótimo.",0.9956,0.9044
L5266-MATEO BEI,neutro,positivo,Outros / Genéricos,Pra mim está ótimo,0.9956,0.9044
L5050-SOROCABA W.LUIZ (1273),neutro,positivo,Atendimento / Loja física,Gratidão ótimo atendimento .,0.9948,0.5071
L5078-CAMPO BELO 2 (1342),neutro,positivo,Atendimento / Loja física,Mantendo a equipe de atendentes. Super atenciosos.,0.9939,0.9215
L5001-RIBEIRAO PRETO (0217),neutro,positivo,Outros / Genéricos,Está tudo ótimo! Adoro comprar na Swift,0.9937,0.6925
L5014-ROUXINOL (0567),detrator,positivo,Qualidade do produto,Excelentes produtos e atendimento impecavel,0.9934,0.7593
L5193-COTIA,neutro,positivo,Outros / Genéricos,Tá bom assim,0.9929,0.9527
L5130-TUPI,neutro,positivo,Atendimento / Loja física,Ótimo atendimento pela funcionária Paula e Lucas,0.9919,0.578
L5252-14 DE DEZEMBRO,neutro,positivo,Outros / Genéricos,No momento está. Tudo certo muito bom!,0.9918,0.9243
L5161-ITANHAEM,neutro,positivo,Outros / Genéricos,Esta tudo bom,0.9915,0.8805
L5174-PERI PERI,neutro,positivo,Atendimento / Loja física,O site tem apresentado alguns bugs na hora da pesquisa. A atendente Jenifer é bem eficiente e simpática com os clientes. Ela está de parabéns.  A equipe em geral presta um bom atendimento.,0.9914,0.4479
L5213-REMEDIOS ONIX,detrator,positivo,Outros / Genéricos,Continue assim,0.9912,0.6415
L5030-SAUDADE (0856),neutro,positivo,Outros / Genéricos,Por enquanto para mim está Ok.,0.9907,0.9051
L5063-SAO CAMILO (1311),neutro,positivo,Atendimento / Loja física,"Apesar do atendimento nota 10, em especial pela Gleice, os preços ainda estão a desejar.",0.9903,0.3571
L5155-SUZANO,neutro,positivo,Atendimento / Loja física,O atendimento é excelente,0.9903,0.6155
L5099-VILA MATILDE (1421),neutro,positivo,Outros / Genéricos,Nada a sugerir. Tudo perfeito.,0.9902,0.8667
L5214-SAO MIGUEL,neutro,positivo,Atendimento / Loja física,"Loja sempre organizada, atendimento sempre atencioso e cordial.",0.9899,0.9409
L5267-JAU,neutro,positivo,Outros / Genéricos,Só manter .,0.9899,0.3697
L5209-ITABERABA,neutro,positivo,Outros / Genéricos,Não  tenho o que reclamar . Pra mim está ótimo,0.9889,0.8116
L5130-TUPI,neutro,positivo,Atendimento / Loja física,continuar com excelencia no atendimento,0.9889,0.4015
L5241-ITAPEVI,neutro,positivo,Outros / Genéricos,Por enquanto está bom,0.9889,0.9241
L5109-SANTOS POMPEIA,detrator,positivo,Preço / Promoções,Só os preço bom bom boa tarde desculpa aí boa tarde estou acordada agora boa tarde não os produtos são óptimo só os preços que são mesmo um pouquinho um salgado né meio alto por enquanto eu sempre estou cobrando lá quando toda semana eu estarei lá buscando uma cervejinha pegando uma carninha lá é bom obrigado boa tarde que Deus abençoe mais um dia ganha graças a Deus obrigado por tudo,0.988,0.3541
L5068-BOSQUE DA SAUDE (1321),detrator,positivo,Atendimento / Loja física,"Adoro essa loja principalmente pelo atendimento dos funcionários, não lembro exatamente os nomes mais sempre com boa vontade sempre mostrando novos produtos sempre com alegria em nos receber sabe eu trabalho na aviação e isso sempre nos é muito exigido e poucos lugares atualmente podemos ver funcionários com essa energia do bem parabéns a todos.",0.9872,0.6195
L5199-CASA VERDE,neutro,positivo,Outros / Genéricos,sem sugestões de melhoria.,0.987,0.4986
L5155-SUZANO,detrator,positivo,Outros / Genéricos,Já está ótimo,0.9869,0.8136
L5138-306 ASA NORTE,detrator,positivo,Outros / Genéricos,Retornando o prato Espaguete Cacio e Pepe.,0.9867,0.7464
L5209-ITABERABA,neutro,positivo,Preço / Promoções,"Acredito que os preços podem ser melhorados..., no demais esta tudo otimo...",0.9866,0.5364
