mes_ano,comentarios,avaliacoes_ponderadas,promotores_%,neutros_%,detratores_%,nps_tradicional,sentimento_positivo_%,sentimento_negativo_%,score_sentimento,nps_ajustado,divergencia_%,baixa_conf_sent_%,baixa_conf_cat_%
2025-01-01,8729.0,8730.0,73.05841924398625,14.501718213058421,12.439862542955327,60.618556701030926,66.02520045819014,18.430698739977093,47.59450171821305,56.71134020618556,23.393286745331654,32.74143659067476,30.370030931378167
2025-02-01,5897.0,5901.0,76.63107947805456,13.235044907642774,10.13387561430266,66.4972038637519,64.2433485849856,18.01389594983901,46.229452635146586,60.41687849517031,23.605222994743087,34.54298795997965,29.964388672206205
2025-03-01,6905.0,6906.0,75.90501013611353,13.625832609325226,10.469157254561251,65.43585288155228,64.0457573124819,19.012452939472922,45.033304373008974,59.31508832898929,23.142650253439538,34.46777697320782,29.50036205648081
2025-04-01,7084.0,7084.0,76.62337662337663,12.803500846979107,10.57312252964427,66.05025409373236,64.55392433653303,18.435911914172785,46.118012422360245,60.07058159232072,22.69904009034444,34.26030491247882,30.124223602484474
2025-05-01,7759.0,7760.0,79.13659793814432,12.126288659793815,8.737113402061855,70.39948453608247,66.28865979381443,16.817010309278352,49.47164948453608,64.12113402061856,23.314860162392062,34.20543884521201,30.40340250032221
2025-06-01,8644.0,8648.0,80.89731729879742,11.216466234967623,7.886216466234967,73.01110083256245,68.20074005550416,15.737742830712303,52.46299722479185,66.84666975023127,21.95742711707543,34.081443776029616,30.090236001850997
2025-07-01,6524.0,6524.0,80.50275904353158,11.863887185775598,7.633353770692826,72.86940527283876,69.45125689760883,14.89883507050889,54.55242182709994,67.37431023911711,21.474555487431026,32.985898221949725,29.996934396076025
2025-08-01,7617.0,7618.0,80.6248359149383,11.42032029404043,7.954843791021266,72.66999212391704,67.93121554213705,16.11971646101339,51.811499081123664,66.41244421107902,23.00118156754628,34.8168570303269,30.7338847315216
2025-09-01,7820.0,7822.0,78.47097928918436,12.771669649705958,8.75735106110969,69.71362822807467,66.45359243160317,16.33853234466888,50.11506008693429,63.83405778573255,22.9923273657289,35.012787723785166,30.869565217391305
2025-10-01,7944.0,7952.0,78.13128772635814,13.141348088531188,8.727364185110664,69.40392354124748,65.78219315895373,15.769617706237424,50.012575452716305,63.58651911468812,23.42648539778449,34.730614300100704,30.85347432024169
2025-11-01,6977.0,6987.0,79.30442249892657,11.678832116788321,9.0167453842851,70.28767711464147,66.89566337483899,15.800772863890082,51.09489051094891,64.5298411335337,21.47054607997707,33.20911566575892,29.88390425684392
2025-12-01,9687.0,9718.0,81.1586746244083,10.54743774439185,8.293887631199835,72.86478699320847,70.37456266721549,15.383823832064211,54.99073883515128,67.50257254579131,19.335191493754518,30.102198823165065,31.56808093320946
2026-01-01,8065.0,8074.0,76.67822640574684,12.918008422095614,10.403765172157543,66.27446123358929,64.29279167698786,17.58731731483775,46.70547436215011,60.403765172157534,22.54184748915065,34.37073775573465,31.38251704897706
2026-02-01,7639.0,7642.0,78.04239727819943,12.195760272180058,9.761842449620518,68.28055482857891,65.97749280293117,16.76262758440199,49.21486521852918,62.56084794556399,22.214949600733082,34.12750359994764,31.195182615525592
2026-03-01,8264.0,8277.0,78.47046031170713,12.38371390600459,9.14582578228827,69.32463452941886,66.3767065361846,16.86601425637308,49.51069227981152,63.38045185453666,21.502904162633108,33.07115198451113,31.086640851887704
2026-04-01,7868.0,7882.0,78.1273788378584,12.192336970312104,9.680284191829484,68.44709464602892,65.98579040852576,17.888860695255012,48.09692971327075,62.34204516620146,22.292831723436706,31.672597864768683,30.7956278596848
2026-05-01,4918.0,4925.0,77.74619289340102,13.055837563451778,9.197969543147208,68.5482233502538,65.68527918781726,17.80710659898477,47.878172588832484,62.34720812182741,22.99715331435543,32.79788531923546,31.496543310288732
